test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID||mopParticipantID||data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
16-2|CPM Payment|CPM Payment-transAmount.currency小于3位||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JP", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0017", "message": "Field {transAmount.currency} invalid length."}|||||all
17-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
17-2|CPM Payment|CPM Payment-transAmount.currency不支持的币种||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "EUR", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "B0013", "message": "Transaction currency not supported."}|||||all
18-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
18-2|CPM Payment|CPM Payment-transAmount.value为空||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": ""}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0001", "message": "Field {transAmount.value} absent or empty."}|||||all
19-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
19-2|CPM Payment|CPM Payment-transAmount.value为13位0||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "0000000000000"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "E0002", "message": "Failed."}|||||all
20-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
20-2|CPM Payment|CPM Payment-币种为JPY,transAmount.value为13位9||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "9999999999999"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopID":"WOP_Auto_JCoinPay_01","mopID":"MOP_Auto_GrabPay_01"}|||all
21-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
21-2|CPM Payment|CPM Payment-币种为JPY,transAmount.value为9.99||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "9.99"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0002", "message": "Field {transAmount.value} invalid value."}|||||all
22-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
22-2|CPM Payment|CPM Payment-币种为HKD,transAmount.value为0.00000000001||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "HKD", "value": "0.00000000001"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0002", "message": "Field {transAmount.value} invalid value."}|||||all
23-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
23-3|CPM Payment|CPM Payment-币种为HKD,transAmount.value为0.001||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "HKD", "value": "0.001"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0002", "message": "Field {transAmount.value} invalid value."}|||||all
24-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
24-2|CPM Payment|CPM Payment-币种为HKD,transAmount.value为13位9||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "HKD", "value": "9999999999.99"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopID":"WOP_Auto_JCoinPay_01","mopID":"MOP_Auto_GrabPay_01"}|||all
25-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
25-2|CPM Payment|CPM Payment-币种为HKD,transAmount.value为超过13位||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "HKD", "value": "123456789011.1"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "V0017", "message": "Field {transAmount.value} invalid length."}|||||all
26-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
34-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
34-2|CPM Payment|CPM Payment-storeInfo.mcc四位字母-交易成功||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "123"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "aaaa"}}|{"code": "V0000", "message": "Invalid format."}|||||all
35-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
35-2|CPM Payment|MOP配置信息检查-MOP不存在-交易失败|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}||mop|{"baseInfo.mopID":"MOP_Auto_GrabPay_B1"}||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0017","message":"Participant ID (MOP) not found."}|||||all
36-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
36-2|CPM Payment|MOP配置信息检查:MOP状态已关闭-交易失败|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}||mop|{"baseInfo.mopID":"MOP_Auto_GrabPay_B1"}|{"baseInfo.status" : "locked"}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0020","message":"MOP status error."}|{"traceID": "#traceID#"}|{"status" : "failed","wopStatus" : "failed","mopStatus" : "failed"}|||all
37-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
37-2|CPM Payment|MOP配置信息检查-MOP不存在_deleteFlag：True(删除)-交易失败|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}||mop|{"baseInfo.mopID":"MOP_Auto_GrabPay_B1"}|{"deleteFlag": True}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0017","message":"Participant ID (MOP) not found."}|||||all
38-1|CPM Token|CPM Token-交易成功|||||||||||{"code": "S0000", "message": "Success."}|||||all
38-2|CPM Payment|MOP Token不存在-交易失败||||||||||{"mopToken": {"value": "autotest11223344"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0007","message":"MOP token invalid."}|||||all
39-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
39-2|CPM Payment|CPM Payment-交易成功||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopID":"WOP_Auto_JCoinPay_01","mopID":"MOP_Auto_GrabPay_01"}|||all
39-3|CPM Payment|MOP Token已经被使用-交易失败||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0007","message":"MOP token invalid."}|||||all
40-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
40-2|CPM Payment|WOP和MOP业务关系relation表不存在|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|tyo|relation|{"mopID":"MOP_Auto_GrabPay_B1"}||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
41-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
41-2|CPM Payment|WOP和MOP业务关系relation表不存在,MOP和*存在|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}||relation|{"mopID":"MOP_Auto_GrabPay_B1"}|{"wopID" : "*"}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
42-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
42-2|CPM Payment|WOP和MOP业务关系relation表不存在,WOP和*存在|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|tyo|relation|{"wopID":"WOP_Auto_JCoinPay_B1"}|{"mopID" : "*"}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
43-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
43-2|CPM Payment|WOP配置信息检查-WOP不存在-交易失败|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}||wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_B1"}||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0016","message":"Participant ID (WOP) not found."}|||||all
44-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
44-2|CPM Payment|WOP配置信息检查:WOP状态已关闭-交易失败|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|tyo|wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_B1"}|{"baseInfo.status" : "locked"}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0019","message":"WOP status error."}|||||all
45-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}|||||||||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
45-2|CPM Payment|WOP配置信息检查-WOP存在_deleteFlag：True(删除)-交易失败|{"wopParticipantID":"WOP_Auto_JCoinPay_B1","mopParticipantID":"MOP_Auto_GrabPay_B1"}||wop|{"baseInfo.wopID":"WOP_Auto_JCoinPay_B1"}|{"deleteFlag": True}|||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0016","message":"Participant ID (WOP) not found."}|||||all
46-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
46-2|CPM Payment|MOP不支持交易币种（此用例使用默认配置）-交易失败||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "CNY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0013","message":"Transaction currency not supported."}|||||all
46-3|CPM Payment|CPM payment失败的交易再使用一次token-交易失败||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code":"B0007","message":"MOP token invalid."}|||||all
47-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
