test_id|interface|title|conf|url|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID|wopSignkey|mopParticipantID|mopSignkey|data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
6-2|MPM Payment Authentication|MPM Payment Authentication-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "abcdrfg"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|||||all
6-3|Payment Inquiry|Payment Inquiry-evonetOrderNumber上送特殊字符，字母，数字，中文-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=343**jsd时间&mopOrderNumber=|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "343&*jsd时间"}|{"code": "B0010", "message": "Order number does not exist."}|||||all
7-1|MPM QR Verification|MPM QR Verification-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "evonetUserReference": "#autotest_data#"}, "qrPayload": "https://AutoGrabPay01.com", "location": "JPN"}|{"code": "S0000", "message": "Success."}|||||all
7-2|MPM Payment Authentication|MPM Payment Authentication-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetReference": "#evonetReference#", "userData": {"wopUserReference": "abcdrfg"}, "wopOrderNumber": "#wopOrderNumber#", "wopTransTime": "#wopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|||||all
7-3|Payment Notification|Payment Notification-MPM通知成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber":"#evonetOrderNumber#","evonetOrderCreateTime":"#evonetOrderCreateTime#","userPayTime":"#userPayTime#","transResult": {"status":"succeeded","message":"Success"}}|{"code":"S0000","message":"Success."}|||||all
7-4|Payment Inquiry|Payment Inquiry-上送mopOrderNumber（authorizing），evonetOrderNumber为空"-交易成功||/v0/payment/mop/paymentinquiry?mopOrderNumber=#originalMopOrderNumber#|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"mopOrderNumber": "#mopOrderNumber#"}|{"status":"succeeded","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
8|Payment Inquiry|Payment Inquiry-mopOrderNumber超过128位（129位）-交易失败||/v0/payment/mop/paymentinquiry?mopOrderNumber=#create_128#1|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#create_128#1"}|{"code":"V0017","message":"Field {mopOrderNumber} invalid length."}|||||all
9|Payment Inquiry|Payment Inquiry-mopOrderNumber上送特殊字符，字母，数字，中文-交易失败||/v0/payment/mop/paymentinquiry?mopOrderNumber=这是特殊字符343&*jsd|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopOrderNumber": "这是特殊字符343&*jsd"}|{"code": "B0010", "message": "Order number does not exist."}|||||all
10-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
10-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
10-3|Payment Inquiry|MOP配置信息检查,MOP不存在-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#||mop|{"baseInfo.mopID": "MOP_Auto_GrabPay_B1"}||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code":"B0017","message":"Participant ID (MOP) not found."}|||||all
11-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
11-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
11-3|Payment Inquiry|MOP配置信息检查,MOP状态已关闭-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#||mop|{"baseInfo.mopID": "MOP_Auto_GrabPay_B1"}|{"baseInfo.status" : "locked"}|WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"evonetOrderNumber": "#autotest_data#"}|{"code":"B0020","message":"MOP status error."}|||||all
12-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
12-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
12-3|Payment Inquiry|MOP配置信息检查,MOP不存在_deleteFlag：True(删除)-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#||mop|{"baseInfo.mopID": "MOP_Auto_GrabPay_B1"}|{"deleteFlag": True}|WOP_Auto_JCoinPay_A4||MOP_Auto_GrabPay_A4||{"evonetOrderNumber": "#autotest_data#"}|{"code":"B0017","message":"Participant ID (MOP) not found."}|||||all
13-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
13-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
13-3|Payment Inquiry|WOP和MOP业务关系relation表不存在-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#||relation|{"mopID": "MOP_Auto_GrabPay_B1"}||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"evonetOrderNumber": "#autotest_data#"}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
14-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
14-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
14-3|Payment Inquiry|WOP和MOP业务关系relation表不存在,MOP和*存在-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#||relation|{"mopID": "MOP_Auto_GrabPay_B1"}|{"wopID" : "*"}|WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"evonetOrderNumber": "#autotest_data#"}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
15-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
15-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
15-3|Payment Inquiry|WOP和MOP业务关系relation表不存在,WOP和*存在||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#||relation|{"wopID": "WOP_Auto_JCoinPay_B1"}|{"mopID" : "*"}|WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"evonetOrderNumber": "#autotest_data#"}|{"code":"B0022","message":"WOP and MOP relation missing."}|||||all
16-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_02||MOP_Auto_GrabPay_02||{"brandID": "Auto_GrabPay_02", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
16-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_02||MOP_Auto_GrabPay_02||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
16-3|Payment Inquiry|WOP和MOP业务关系relation表不存在,MOP和*存在,WOP和*存在-交易通过||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#evonetOrderNumber#|||||WOP_Auto_JCoinPay_02||MOP_Auto_GrabPay_02||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"status":"succeeded","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
17-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
17-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
17-3|Cancellation|Cancellation-CPM取消成功(传mopOrderNumber)|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopOrderNumber":"#originalMopOrderNumber#"}|{"code":"S0000","message":"Success."}|{"evonetOrderNumber":"#evonetOrderNumber#"}|{"status":"cancelled","wopRespStatus":"cancelled","mopRespStatus":"cancelled"}|||all
17-4|Payment Inquiry|CPM原交易状态为“取消”-查询成功||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#originalEvonetOrderNumber#|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber":"#evonetOrderNumber#"}|{"status":"cancelled","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
18-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
18-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
18-3|Refund|Refund-CPM部分退款成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"originalEvonetOrderNumber": "#originalEvonetOrderNumber#", "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "3"}}|{"code": "S0000", "message": "Success."}|||||all
18-4|Payment Inquiry|CPM原交易状态为“部分退款”-查询成功||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#originalEvonetOrderNumber#|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#originalEvonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"status":"partially refunded","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
19-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
19-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "11ww1", "localName": "sb", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
19-3|Refund|Refund-CPM全额退款成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"originalEvonetOrderNumber": "#originalEvonetOrderNumber#", "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}}|{"code": "S0000", "message": "Success."}|||||all
19-4|Payment Inquiry|CPM原交易状态为“全额退款”-查询成功||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#originalEvonetOrderNumber#|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#originalEvonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"status":"fully refunded","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
20-1|MPM QR Verification|MPM QR Verification-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"brandID":"Auto_GrabPay_01","userData": {"wopUserReference":"#autotest_data#","evonetUserReference":"#autotest_data#"},"qrPayload":"https://AutoGrabPay01.com","location":"JPN"}|{"code":"S0000","message":"Success."}|||||all
20-2|MPM Payment Authentication|MPM Payment Authentication-交易成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetReference":"#evonetReference#","userData": {"wopUserReference":"#autotest_data#"},"wopOrderNumber":"#wopOrderNumber#","wopTransTime":"#wopTransTime#","transAmount": {"currency":"JPY","value":"23"}}|{"code":"S0000","message":"Success."}|||||all
20-3|Payment Notification|Payment Notification-MPM通知成功|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber":"#evonetOrderNumber#","evonetOrderCreateTime":"#evonetOrderCreateTime#","userPayTime":"#userPayTime#","transResult": {"status":"succeeded","message":"Success"}}|{"code":"S0000","message":"Success."}|||||all
20-4|Cancellation|Cancellation-MPM取消成功(传evonetOrderNumber)|||||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber":"#originalEvonetOrderNumber#"}|{"code":"S0000","message":"Success."}|||||all
20-5|Payment Inquiry|MPM原交易状态为“取消”-查询成功||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#originalEvonetOrderNumber#|||||WOP_Auto_JCoinPay_01||MOP_Auto_GrabPay_01||{"evonetOrderNumber": "#originalEvonetOrderNumber#"}|{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"status":"cancelled","wopStatus":"succeeded","mopStatus":"succeeded"}|||all
21-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
22-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
22-3|Payment Inquiry|WOP配置信息检查,WOP不存在-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#originalEvonetOrderNumber#||wop|{"baseInfo.wopID": "WOP_Auto_JCoinPay_B1"}||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code":"B0016","message":"Participant ID (WOP) not found."}|||||all
23-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
23-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
23-3|Payment Inquiry|WOP配置信息检查,:WOP状态已关闭-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#originalEvonetOrderNumber#||wop|{"baseInfo.wopID": "WOP_Auto_JCoinPay_B1"}|{"baseInfo.status" : "locked"}|WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code":"B0019","message":"WOP status error."}|||||all
24-1|CPM Token|CPM Token-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"brandID": "Auto_GrabPay_B1", "userData": {"wopUserReference": "#autotest_data#", "wopToken": "#autotest_data#", "evonetUserReference": "#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
24-2|CPM Payment|CPM Payment-交易成功|||||||WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
24-3|Payment Inquiry|WOP配置信息检查,deleteFlag：True(删除)-交易失败||/v0/payment/mop/paymentinquiry?evonetOrderNumber=#originalEvonetOrderNumber#||wop|{"baseInfo.wopID": "WOP_Auto_JCoinPay_B1"}|{"deleteFlag": True}|WOP_Auto_JCoinPay_B1||MOP_Auto_GrabPay_B1||{"evonetOrderNumber": "#evonetOrderNumber#"}|{"code":"B0016","message":"Participant ID (WOP) not found."}|||||all
