test_id|interface|title|conf|url|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID|wopSignkey|mopParticipantID|mopSignkey|data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
1-2|MPM Payment Authentication|MPM PaymentAuthentication-交易成功|||||||MDAQ_WOP_02||bccardnacfusd|||{"code": "S0000", "message": "Success."}|||||all
#银联模式
1-1|MPM QR Verification|MPM QR Verification-交易成功|||||||MDAQ_WOP_03||bccardnacfusd||{"brandID": "MDAQ_03","qrPayload":"https://bccardnacfusd.com"}|{"code": "S0000", "message": "Success."}|||||all
1-2|MPM Payment Authentication|MPM PaymentAuthentication-交易成功|||||||MDAQ_WOP_03||bccardnacfusd|||{"code": "S0000", "message": "Success."}|||||all
#不同币种
1-1|MPM QR Verification|MPM QR Verification-交易成功|||||||MDAQ_WOP_04||bccardnacfusd||{"brandID": "MDAQ_04","qrPayload":"https://bccardnacfusd.com"}|{"code": "S0000", "message": "Success."}|||||all
1-2|MPM Payment Authentication|MPM PaymentAuthentication-交易成功|||||||MDAQ_WOP_04||bccardnacfusd|||{"code": "S0000", "message": "Success."}|||||all



submit_test_cases = [
    ("start_task", 'SALE', 0, 'REFUND', 0),
    ("start_task", 'SALE', 1, 'REFUND', 1),
    ("start_task", 'SALE', 101, 'REFUND', 0),
    ("start_task", 'SALE', 230, 'REFUND', 50),
    ("-2h-referenceid为已失效",'SALE', 1, 'REFUND', 0),
    ("-2h-referenceid为不存在",'SALE', 1, 'REFUND', 0),
    ("-2h-referenceid为现在使用",'SALE', 1, 'REFUND', 0),
    ("手工更改advice表为init进行重复上送",'SALE',0,'REFUND', 0)
]
